day,PGE_valley,PGE_bay,SCE,SDGE,PNW
1,6.38,6.38,6.19,6.19,6.98
2,6.38,6.38,6.19,6.19,6.98
3,6.38,6.38,6.19,6.19,6.98
4,6.38,6.38,6.19,6.19,6.98
5,6.48,6.48,6.29,6.29,6.98
6,6.76,6.76,6.57,6.57,6.98
7,7.8,7.8,7.61,7.61,6.98
8,6.85,6.85,6.66,6.66,6.98
9,6.85,6.85,6.66,6.66,6.98
10,6.85,6.85,6.66,6.66,6.98
11,6.06,6.06,5.87,5.87,6.98
12,5.86,5.86,5.67,5.67,6.98
13,5.9,5.9,5.71,5.71,6.98
14,6.06,6.06,5.87,5.87,6.98
15,5.95,5.95,5.76,5.76,6.98
16,5.95,5.95,5.76,5.76,6.98
17,5.95,5.95,5.76,5.76,6.98
18,5.95,5.95,5.76,5.76,6.98
19,5.8,5.8,5.61,5.61,6.98
20,5.83,5.83,5.64,5.64,6.98
21,5.81,5.81,5.62,5.62,6.98
22,5.96,5.96,5.77,5.77,6.98
23,5.96,5.96,5.77,5.77,6.98
24,5.96,5.96,5.77,5.77,6.98
25,6.05,6.05,5.86,5.86,6.98
26,5.9,5.9,5.71,5.71,6.98
27,5.71,5.71,5.52,5.52,6.98
28,5.61,5.61,5.42,5.42,6.98
29,5.55,5.55,5.36,5.36,6.98
30,5.55,5.55,5.36,5.36,6.98
31,5.55,5.55,5.36,5.36,6.98
32,5.59,5.59,5.4,5.4,6.27
33,5.76,5.76,5.57,5.57,6.27
34,5.8,5.8,5.61,5.61,6.27
35,5.76,5.76,5.57,5.57,6.27
36,5.9,5.9,5.71,5.71,6.27
37,5.9,5.9,5.71,5.71,6.27
38,5.9,5.9,5.71,5.71,6.27
39,6.02,6.02,5.83,5.83,6.27
40,5.83,5.83,5.64,5.64,6.27
41,5.77,5.77,5.58,5.58,6.27
42,5.82,5.82,5.63,5.63,6.27
43,5.77,5.77,5.58,5.58,6.27
44,5.77,5.77,5.58,5.58,6.27
45,5.77,5.77,5.58,5.58,6.27
46,5.77,5.77,5.58,5.58,6.27
47,5.94,5.94,5.75,5.75,6.27
48,5.76,5.76,5.57,5.57,6.27
49,5.69,5.69,5.5,5.5,6.27
50,5.39,5.39,5.2,5.2,6.27
51,5.39,5.39,5.2,5.2,6.27
52,5.39,5.39,5.2,5.2,6.27
53,5.21,5.21,5.02,5.02,6.27
54,5.2,5.2,5.01,5.01,6.27
55,5.2,5.2,5.01,5.01,6.27
56,5.13,5.13,4.94,4.94,6.27
57,5.05,5.05,4.86,4.86,6.27
58,5.05,5.05,4.86,4.86,6.27
59,5.05,5.05,4.86,4.86,6.27
60,5.12,5.12,4.93,4.93,5.47
61,5.07,5.07,4.88,4.88,5.47
62,5.05,5.05,4.86,4.86,5.47
63,5.07,5.07,4.88,4.88,5.47
64,4.85,4.85,4.66,4.66,5.47
65,4.85,4.85,4.66,4.66,5.47
66,4.85,4.85,4.66,4.66,5.47
67,4.76,4.76,4.57,4.57,5.47
68,4.8,4.8,4.61,4.61,5.47
69,4.73,4.73,4.54,4.54,5.47
70,4.76,4.76,4.57,4.57,5.47
71,4.64,4.64,4.45,4.45,5.47
72,4.64,4.64,4.45,4.45,5.47
73,4.64,4.64,4.45,4.45,5.47
74,4.58,4.58,4.39,4.39,5.47
75,4.67,4.67,4.48,4.48,5.47
76,4.56,4.56,4.37,4.37,5.47
77,4.48,4.48,4.29,4.29,5.47
78,4.3,4.3,4.11,4.11,5.47
79,4.3,4.3,4.11,4.11,5.47
80,4.3,4.3,4.11,4.11,5.47
81,4.31,4.31,4.12,4.12,5.47
82,4.37,4.37,4.18,4.18,5.47
83,4.31,4.31,4.12,4.12,5.47
84,4.3,4.3,4.11,4.11,5.47
85,4.21,4.21,4.02,4.02,5.47
86,4.21,4.21,4.02,4.02,5.47
87,4.21,4.21,4.02,4.02,5.47
88,4.12,4.12,3.93,3.93,5.47
89,4.08,4.08,3.89,3.89,5.47
90,4.22,4.22,4.03,4.03,5.47
91,4.01,4.01,3.82,3.82,4.91
92,4.01,4.01,3.82,3.82,4.91
93,4.01,4.01,3.82,3.82,4.91
94,4.01,4.01,3.82,3.82,4.91
95,4.22,4.22,4.03,4.03,4.91
96,4.45,4.45,4.26,4.26,4.91
97,4.37,4.37,4.18,4.18,4.91
98,4.21,4.21,4.02,4.02,4.91
99,4.19,4.19,4,4,4.91
100,4.19,4.19,4,4,4.91
101,4.19,4.19,4,4,4.91
102,4.33,4.33,4.14,4.14,4.91
103,4.26,4.26,4.07,4.07,4.91
104,4.44,4.44,4.25,4.25,4.91
105,4.45,4.45,4.26,4.26,4.91
106,4.26,4.26,4.07,4.07,4.91
107,4.26,4.26,4.07,4.07,4.91
108,4.26,4.26,4.07,4.07,4.91
109,4.31,4.31,4.12,4.12,4.91
110,4.22,4.22,4.03,4.03,4.91
111,4.25,4.25,4.06,4.06,4.91
112,4.24,4.24,4.05,4.05,4.91
113,4.36,4.36,4.17,4.17,4.91
114,4.36,4.36,4.17,4.17,4.91
115,4.36,4.36,4.17,4.17,4.91
116,4.52,4.52,4.33,4.33,4.91
117,4.47,4.47,4.28,4.28,4.91
118,4.48,4.48,4.29,4.29,4.91
119,4.53,4.53,4.34,4.34,4.91
120,4.23,4.23,4.04,4.04,4.91
121,4.23,4.23,4.04,4.04,4.96
122,4.23,4.23,4.04,4.04,4.96
123,4.15,4.15,3.96,3.96,4.96
124,4.25,4.25,4.06,4.06,4.96
125,4.29,4.29,4.1,4.1,4.96
126,4.26,4.26,4.07,4.07,4.96
127,4.2,4.2,4.01,4.01,4.96
128,4.2,4.2,4.01,4.01,4.96
129,4.2,4.2,4.01,4.01,4.96
130,4.37,4.37,4.18,4.18,4.96
131,4.44,4.44,4.25,4.25,4.96
132,4.47,4.47,4.28,4.28,4.96
133,4.55,4.55,4.36,4.36,4.96
134,4.56,4.56,4.37,4.37,4.96
135,4.56,4.56,4.37,4.37,4.96
136,4.56,4.56,4.37,4.37,4.96
137,4.63,4.63,4.44,4.44,4.96
138,4.71,4.71,4.52,4.52,4.96
139,4.57,4.57,4.38,4.38,4.96
140,4.41,4.41,4.22,4.22,4.96
141,4.41,4.41,4.22,4.22,4.96
142,4.41,4.41,4.22,4.22,4.96
143,4.41,4.41,4.22,4.22,4.96
144,4.37,4.37,4.18,4.18,4.96
145,4.37,4.37,4.18,4.18,4.96
146,4.48,4.48,4.29,4.29,4.96
147,4.51,4.51,4.32,4.32,4.96
148,4.6,4.6,4.41,4.41,4.96
149,4.6,4.6,4.41,4.41,4.96
150,4.6,4.6,4.41,4.41,4.96
151,4.6,4.6,4.41,4.41,4.96
152,4.68,4.68,4.49,4.49,5.31
153,4.61,4.61,4.42,4.42,5.31
154,4.75,4.75,4.56,4.56,5.31
155,4.89,4.89,4.7,4.7,5.31
156,4.89,4.89,4.7,4.7,5.31
157,4.89,4.89,4.7,4.7,5.31
158,4.96,4.96,4.77,4.77,5.31
159,5.18,5.18,4.99,4.99,5.31
160,5.04,5.04,4.85,4.85,5.31
161,4.97,4.97,4.78,4.78,5.31
162,4.97,4.97,4.78,4.78,5.31
163,4.97,4.97,4.78,4.78,5.31
164,4.97,4.97,4.78,4.78,5.31
165,5.23,5.23,5.04,5.04,5.31
166,5.4,5.4,5.21,5.21,5.31
167,5.42,5.42,5.23,5.23,5.31
168,5.43,5.43,5.24,5.24,5.31
169,5.46,5.46,5.27,5.27,5.31
170,5.46,5.46,5.27,5.27,5.31
171,5.46,5.46,5.27,5.27,5.31
172,5.44,5.44,5.25,5.25,5.31
173,5.16,5.16,4.97,4.97,5.31
174,5.19,5.19,5,5,5.31
175,5.17,5.17,4.98,4.98,5.31
176,5.13,5.13,4.94,4.94,5.31
177,5.13,5.13,4.94,4.94,5.31
178,5.13,5.13,4.94,4.94,5.31
179,5.14,5.14,4.95,4.95,5.31
180,4.97,4.97,4.78,4.78,5.31
181,4.82,4.82,4.63,4.63,5.31
182,4.83,4.83,4.64,4.64,5.34
183,5.01,5.01,4.82,4.82,5.34
184,5.01,5.01,4.82,4.82,5.34
185,5.01,5.01,4.82,4.82,5.34
186,5.01,5.01,4.82,4.82,5.34
187,5.14,5.14,4.95,4.95,5.34
188,5.05,5.05,4.86,4.86,5.34
189,4.9,4.9,4.71,4.71,5.34
190,4.65,4.65,4.46,4.46,5.34
191,4.65,4.65,4.46,4.46,5.34
192,4.65,4.65,4.46,4.46,5.34
193,4.71,4.71,4.52,4.52,5.34
194,4.75,4.75,4.56,4.56,5.34
195,4.68,4.68,4.49,4.49,5.34
196,4.72,4.72,4.53,4.53,5.34
197,4.97,4.97,4.78,4.78,5.34
198,4.97,4.97,4.78,4.78,5.34
199,4.97,4.97,4.78,4.78,5.34
200,4.85,4.85,4.66,4.66,5.34
201,4.88,4.88,4.69,4.69,5.34
202,4.99,4.99,4.8,4.8,5.34
203,4.96,4.96,4.77,4.77,5.34
204,4.98,4.98,4.79,4.79,5.34
205,4.98,4.98,4.79,4.79,5.34
206,4.98,4.98,4.79,4.79,5.34
207,4.94,4.94,4.75,4.75,5.34
208,5.01,5.01,4.82,4.82,5.34
209,5.04,5.04,4.85,4.85,5.34
210,5.09,5.09,4.9,4.9,5.34
211,5.1,5.1,4.91,4.91,5.34
212,5.1,5.1,4.91,4.91,5.34
213,5.1,5.1,4.91,4.91,5.06
214,5.23,5.23,5.04,5.04,5.06
215,5.07,5.07,4.88,4.88,5.06
216,5.06,5.06,4.87,4.87,5.06
217,5.13,5.13,4.94,4.94,5.06
218,4.96,4.96,4.77,4.77,5.06
219,4.96,4.96,4.77,4.77,5.06
220,4.96,4.96,4.77,4.77,5.06
221,4.81,4.81,4.62,4.62,5.06
222,4.72,4.72,4.53,4.53,5.06
223,4.67,4.67,4.48,4.48,5.06
224,4.71,4.71,4.52,4.52,5.06
225,4.64,4.64,4.45,4.45,5.06
226,4.64,4.64,4.45,4.45,5.06
227,4.64,4.64,4.45,4.45,5.06
228,4.66,4.66,4.47,4.47,5.06
229,4.57,4.57,4.38,4.38,5.06
230,4.64,4.64,4.45,4.45,5.06
231,4.58,4.58,4.39,4.39,5.06
232,4.48,4.48,4.29,4.29,5.06
233,4.48,4.48,4.29,4.29,5.06
234,4.48,4.48,4.29,4.29,5.06
235,4.41,4.41,4.22,4.22,5.06
236,4.36,4.36,4.17,4.17,5.06
237,4.28,4.28,4.09,4.09,5.06
238,4.14,4.14,3.95,3.95,5.06
239,4.04,4.04,3.85,3.85,5.06
240,4.04,4.04,3.85,3.85,5.06
241,4.04,4.04,3.85,3.85,5.06
242,4.06,4.06,3.87,3.87,5.06
243,4.09,4.09,3.9,3.9,5.06
244,4.02,4.02,3.83,3.83,4.61
245,4.03,4.03,3.84,3.84,4.61
246,4.03,4.03,3.84,3.84,4.61
247,4.03,4.03,3.84,3.84,4.61
248,4.03,4.03,3.84,3.84,4.61
249,4.03,4.03,3.84,3.84,4.61
250,4.11,4.11,3.92,3.92,4.61
251,4.1,4.1,3.91,3.91,4.61
252,4.08,4.08,3.89,3.89,4.61
253,4.08,4.08,3.89,3.89,4.61
254,4.08,4.08,3.89,3.89,4.61
255,4.08,4.08,3.89,3.89,4.61
256,4.12,4.12,3.93,3.93,4.61
257,4.27,4.27,4.08,4.08,4.61
258,4.35,4.35,4.16,4.16,4.61
259,4.38,4.38,4.19,4.19,4.61
260,4.4,4.4,4.21,4.21,4.61
261,4.4,4.4,4.21,4.21,4.61
262,4.4,4.4,4.21,4.21,4.61
263,4.3,4.3,4.11,4.11,4.61
264,4.24,4.24,4.05,4.05,4.61
265,4.31,4.31,4.12,4.12,4.61
266,4.37,4.37,4.18,4.18,4.61
267,4.26,4.26,4.07,4.07,4.61
268,4.26,4.26,4.07,4.07,4.61
269,4.26,4.26,4.07,4.07,4.61
270,4.09,4.09,3.9,3.9,4.61
271,4.09,4.09,3.9,3.9,4.61
272,4.1,4.1,3.91,3.91,4.61
273,4.14,4.14,3.95,3.95,4.61
274,3.96,3.96,3.77,3.77,4.45
275,3.96,3.96,3.77,3.77,4.45
276,3.96,3.96,3.77,3.77,4.45
277,3.85,3.85,3.66,3.66,4.45
278,3.8,3.8,3.61,3.61,4.45
279,3.85,3.85,3.66,3.66,4.45
280,3.91,3.91,3.72,3.72,4.45
281,3.65,3.65,3.46,3.46,4.45
282,3.65,3.65,3.46,3.46,4.45
283,3.65,3.65,3.46,3.46,4.45
284,3.72,3.72,3.53,3.53,4.45
285,3.69,3.69,3.5,3.5,4.45
286,3.87,3.87,3.68,3.68,4.45
287,3.87,3.87,3.68,3.68,4.45
288,3.76,3.76,3.57,3.57,4.45
289,3.76,3.76,3.57,3.57,4.45
290,3.76,3.76,3.57,3.57,4.45
291,3.65,3.65,3.46,3.46,4.45
292,3.65,3.65,3.46,3.46,4.45
293,3.75,3.75,3.56,3.56,4.45
294,3.75,3.75,3.56,3.56,4.45
295,3.48,3.48,3.29,3.29,4.45
296,3.48,3.48,3.29,3.29,4.45
297,3.48,3.48,3.29,3.29,4.45
298,3.47,3.47,3.28,3.28,4.45
299,3.57,3.57,3.38,3.38,4.45
300,3.66,3.66,3.47,3.47,4.45
301,3.65,3.65,3.46,3.46,4.45
302,3.65,3.65,3.46,3.46,4.45
303,3.65,3.65,3.46,3.46,4.45
304,3.65,3.65,3.46,3.46,4.45
305,3.71,3.71,3.52,3.52,4.55
306,3.49,3.49,3.3,3.3,4.55
307,3.64,3.64,3.45,3.45,4.55
308,3.82,3.82,3.63,3.63,4.55
309,3.76,3.76,3.57,3.57,4.55
310,3.76,3.76,3.57,3.57,4.55
311,3.76,3.76,3.57,3.57,4.55
312,3.78,3.78,3.59,3.59,4.55
313,4.05,4.05,3.86,3.86,4.55
314,4.29,4.29,4.1,4.1,4.55
315,4.02,4.02,3.83,3.83,4.55
316,3.79,3.79,3.6,3.6,4.55
317,3.79,3.79,3.6,3.6,4.55
318,3.79,3.79,3.6,3.6,4.55
319,3.85,3.85,3.66,3.66,4.55
320,3.95,3.95,3.76,3.76,4.55
321,4.06,4.06,3.87,3.87,4.55
322,4.18,4.18,3.99,3.99,4.55
323,4.08,4.08,3.89,3.89,4.55
324,4.08,4.08,3.89,3.89,4.55
325,4.08,4.08,3.89,3.89,4.55
326,4.31,4.31,4.12,4.12,4.55
327,4.22,4.22,4.03,4.03,4.55
328,4.11,4.11,3.92,3.92,4.55
329,4.11,4.11,3.92,3.92,4.55
330,4.11,4.11,3.92,3.92,4.55
331,4.11,4.11,3.92,3.92,4.55
332,4.11,4.11,3.92,3.92,4.55
333,4.41,4.41,4.22,4.22,4.55
334,4.45,4.45,4.26,4.26,4.55
335,4.5,4.5,4.31,4.31,5.68
336,4.57,4.57,4.38,4.38,5.68
337,4.52,4.52,4.33,4.33,5.68
338,4.52,4.52,4.33,4.33,5.68
339,4.52,4.52,4.33,4.33,5.68
340,4.76,4.76,4.57,4.57,5.68
341,4.77,4.77,4.58,4.58,5.68
342,4.76,4.76,4.57,4.57,5.68
343,4.81,4.81,4.62,4.62,5.68
344,4.66,4.66,4.47,4.47,5.68
345,4.66,4.66,4.47,4.47,5.68
346,4.66,4.66,4.47,4.47,5.68
347,4.84,4.84,4.65,4.65,5.68
348,4.64,4.64,4.45,4.45,5.68
349,4.51,4.51,4.32,4.32,5.68
350,4.48,4.48,4.29,4.29,5.68
351,4.28,4.28,4.09,4.09,5.68
352,4.28,4.28,4.09,4.09,5.68
353,4.28,4.28,4.09,4.09,5.68
354,4.39,4.39,4.2,4.2,5.68
355,4.46,4.46,4.27,4.27,5.68
356,4.3,4.3,4.11,4.11,5.68
357,4.37,4.37,4.18,4.18,5.68
358,4.37,4.37,4.18,4.18,5.68
359,4.37,4.37,4.18,4.18,5.68
360,4.37,4.37,4.18,4.18,5.68
361,4.34,4.34,4.15,4.15,5.68
362,4.39,4.39,4.2,4.2,5.68
363,4.48,4.48,4.29,4.29,5.68
364,4.51,4.51,4.32,4.32,5.68
365,4.51,4.51,4.32,4.32,5.68
